"name","slug","desc","totRating","avgRating","logoSrc"
"Airbnb","airbnb","Airbnb is an online community marketplace for people to list, discover, and book accommodations around the world.",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1405534850/vubc5kxhmw6jalain0ot.jpg"
"Meta Science","meta-science","Meta Science is a free AI-enabled platform that lets researchers follow their world of research in real time, explore history and share papers with their peers.",0,5,"https://pbs.twimg.com/profile_images/667456687461285889/cnX0y3HQ.jpg"
"AeroFS","aerofs","",0,5,"https://pbs.twimg.com/profile_images/675090731137150978/NbAsd90U_400x400.jpg"
"Argus Residence","argus-residence","Argus will accept youth in crisis from anywhere surrounding the Waterloo Region in an effort to respect the privacy of their clients and blend into residential scale.",0,5,"https://pbs.twimg.com/profile_images/2036394783/argus_400x400.jpg"
"Wealthsimple","wealthsimple","",0,4,"https://pbs.twimg.com/profile_images/661564824124596225/fDwkUm3N_400x400.jpg"
"Street Contxt ","street-contxt","Street Contxt brings clarity to the exchange of content and makes targeted connections between brokers, independent research providers, and asset managers.",0,4.5,"https://c2.staticflickr.com/2/1639/23937613750_6ce1383767_o.jpg"
"SnapTravel","snaptravel",,0,5,
"Athos","athos","Athos offers workout clothing fully integrated with wearable technology and capable of tracking heart rates, breathing levels, and more.",0,5,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397185455/aeb9857dc60cbf0a07c5a54a62692624.png"
"theScore","thescore",,0,4,
"Autodesk","autodesk","Autodesk is develops 3D design software for use in the architecture, engineering, construction, and media industries.",0,4.66666666666667,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1476247465/tyzak2zmwvrwuidurgfq.png"
"nanoPay Inc.","nanopay-inc","",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/v1399545573/d9t19wvgrau0p4q0i3wc.png"
"Oncorp Direct Inc.","oncorp-direct-inc","OnCorp Direct is a Canadian-owned provider of online search and registration services in Canada and the USA.",0,5,"http://image.pitchbook.com/NRz3HTNS7WeGDaQGdEz5Ialn1tb1455881372860_200x200"
"Veeva Systems","veeva-systems",,0,4.5,
"Cisco","cisco","Cognitive Security is a technology company focused on applying artificial intelligence techniques to detect advanced cyber threats.",0,0,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1431456312/is9nexjyothobexbe9zb.png"
"OANDA","oanda","OANDA provides trusted FX & CFD trading, exchange rates data and corporate FX payments.",0,4,"https://pbs.twimg.com/profile_images/794185485866401792/3cQubWut_400x400.jpg"
"Symbility Intersect","symbility-intersect",,0,5,
"Pivotal Labs","pivotal-labs",,0,4.5,
"NCR","ncr",,0,4,
"Public Health Ontario","public-health-ontario","Public Health Ontario (PHO) is a Crown corporation dedicated to protecting and promoting the health of all Ontarians and reducing inequities in health.",0,5,"https://www.bornontario.ca/common/code/image.php?w=300&h=200&i=/assets/Public%20Health%20Ontario-%20News%20story.jpg&q=75"
"CodeNation","codenation",,0,4,
"Bloomberg","bloomberg","Bloomberg provides news, data, analytics, and communication services for the global business and financial world.",0,4.375,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1424929598/w5p2zjoy5fd9hiievhdq.png"
"Statistics Canada","statistics-canada",,0,4,
"Xe.com","xecom",,0,4,
"Flipp","flipp","Flipp is a retail technology company that works with the top retailers in North America to reinvent the weekly shopping experience.",0,4.6,"https://pbs.twimg.com/profile_images/567912107333541888/5hr0eN0P_400x400.png"
"CACI International, Inc","caci-international-inc",,0,3,
"Elecsoft Consulting","elecsoft-consulting",,0,2,
"TD Lab","td-lab",,0,3.66666666666667,
"Irdeto","irdeto",,0,0,
"Uken Games","uken-games",,0,5,
"LCBO Next","lcbo-next","",0,4.27272727272727,"https://scontent-sjc3-1.xx.fbcdn.net/v/t1.0-9/52891127_780462458989208_6868267354778763264_o.png?_nc_cat=106&_nc_ht=scontent-sjc3-1.xx&oh=eae4e3b8bb613ad099d9911051fb8e51&oe=5D3C87D7"
"Cruise","cruise","",0,5,""
"VMWare","vmware","VMware, Inc. is a subsidiary of Dell Technologies, that provides cloud and virtualization software and services, and claims to be the first to successfully virtualize the x86 architecture commercially.",0,0,"https://lh6.googleusercontent.com/-gNCF7ZJ1s-E/AAAAAAAAAAI/AAAAAAAAEcQ/-a7GiYVwz9k/s0-c-k-no-ns/photo.jpg"
"Vena Solutions","vena-solutions","Vena Solutions offers SaaS-based enterprise performance management solutions for mission-critical finance and accounting processes.",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397181377/9f105dccc9f59861cbaded98f4a15723.jpg"
"Universe","universe",,0,5,
"exactEarth Ltd","exactearth-ltd",,0,5,
"IBM","ibm","IBM manufactures and markets computer hardware, middleware and software, and offers hosting and consulting services in areas ranging from mainframe computers to nanotechnology.",0,3.66666666666667,"https://pbs.twimg.com/profile_images/818463874471067648/tEThY0fk_400x400.jpg"
"Zuora","zuora",,0,4,
"Shippo","shippo",,0,5,
"Evernote","evernote","Evernote is a suite of software and services that allow users to capture, organize, and find information across multiple platforms.",0,5,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1469791733/rlxmntcw04ynogihq845.png"
"Snapchat","snapchat","Snapchat is a photo messaging app that allows users to take photos, record videos, add text and drawings, and send them to recipients.",0,4.22222222222222,"https://lh4.ggpht.com/vdK_CsMSsJoYvJpYgaj91fiJ1T8rnSHHbXL0Em378kQaaf_BGyvUek2aU9z2qbxJCAFV=w300"
"Asana","asana","Asana is a web and mobile application designed to help teams improve communication, organization and collaboration.",0,5,"https://pbs.twimg.com/profile_images/684147210569662464/8j38fY3D.png"
"Wave Financial","wave-financial",,0,5,
"Dropbox","dropbox","Dropbox's mission is to provide a home for everyone's most important information and bring it to life.",0,5,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1412848781/ub44kt96u00ampxwdoqh.png"
"A Thinking Ape","a-thinking-ape","A Thinking Ape owns and operates Chatterous, a communications service that allows groups of friends to stay in contact with one another.",0,4.5,"https://imgur.com/UxJfhdK.jpg"
"Nvidia","nvidia","Nvidia manufactures integrated circuits for use in motherboard chip-sets, graphic processing units and game consoles.",0,4.6,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1475088526/jxf78cwavratiapxwsvq.jpg"
"Yahoo!","yahoo","Yahoo! is an American multinational technology company headquartered in Sunnyvale, California.",0,4.8,"https://pbs.twimg.com/profile_images/747326716746444800/IRfRHRaE_400x400.jpg"
"Capcom","capcom","Capcom is a Japanese manufacturer and distributor of video games and electronic game machines engaged in the digital content business.",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397183382/6719dc18d2a03c266ca22b8f488e4b56.png"
"Finastra","finastra",,0,4,
"Apple","apple","Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.",0,3.85714285714286,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1411584838/z5utpyzqil1rznbizd65.png"
"Salesforce","salesforce","Salesforce is a global cloud computing company that develops CRM solutions and provides business software on a subscription basis.",0,4.85714285714286,"https://pbs.twimg.com/profile_images/716283264881700865/voT_NePC_400x400.jpg"
"Uber","uber","Uber is a mobile app connecting passengers with drivers for hire.",0,4.66666666666667,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1454467659/eee4qfnl0fj0a08sjkq0.png"
"Square","square","Square is a merchant services aggregator and mobile payment company that aims to simplify commerce through technology.",0,4.6,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1474910707/vtbgupsulv6ijpidpxdw.jpg"
"Postmates","postmates",,0,1,
"FreshBooks","freshbooks","FreshBooks, cloud-based accounting software, allows owners to invoice clients, track time and run their small businesses in the cloud.",0,4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397184125/561f8eb62f8ec69550a43748aa020343.png"
"BlackBerry","blackberry","Formerly known as Research In Motion Limited (RIM), BlackBerry is a Canadian-based multinational wireless telecommunications software and mobile hardware company best known to the general public as the developer of the BlackBerry brand of smartphones and tablets, but is transitioning to becoming a worldwide provider of software for industrial applications and mobile device management.",0,4.1,"https://imgur.com/cQ5YNMk.jpg"
"Scribd","scribd",,0,5,
"Tesla Motors","tesla-motors","Tesla Motors is an American automaker and energy storage company in Palo Alto, California. The company specializes in electric cars and their powertrain components and also produces battery charging equipment.",0,4,"https://pbs.twimg.com/profile_images/489192650474414080/4RxZxsud.png"
"Loyalty One","loyalty-one","LoyaltyOne, Co. is a global provider of loyalty marketing and programs to enterprises in the retail, financial services, grocery, petroleum retail, travel, and hospitality sectors.",0,4.4,"https://pbs.twimg.com/profile_images/459012814678409217/3aA-fadi.jpeg"
"LoyaltyOne","loyaltyone",,0,0,
"Adobe Inc.","adobe-inc",,0,5,
"Bank of Montreal","bank-of-montreal","BMO is one of the Big Five banks in Canada. It is the fourth-largest bank in Canada by market capitalization and based on assets, and among the ten largest banks in North America.",0,2.4,"https://pbs.twimg.com/profile_images/797833739795595264/KHzGCVxn_400x400.jpg"
